Dataset_Name,Thing_Name
3D_Printer,3dPrinter
AGV,agv
Automated_Screwdriver,autoScrewdriver
Boiler,boiler
Carton_Former,cartonFormer
CMM,cmm
CNC_Lathe,cncLathe
CNC_Mill,cncMill
Compressor,compressor
Conveyor_Belt,conveyorBelt
Crane,crane
Dryer,dryer
Forklift_Electric,forkliftElectric
Furnace,furnace
Grinder,grinder
Heat_Exchanger,heatExchanger
Hydraulic_Press,hydrPress
Industrial_Chiller,indChiller
Injection_Molder,injectionMolder
Labeler,labeler
Laser_Cutter,laserCutter
Mixer,mixer
Palletizer,palletizer
Pick_and_Place,pickNplace
Press_Brake,pressBrake
Pump,pump
Robot_Arm,robotArm
Shrink_Wrapper,shrinkWrapper
Shuttle_System,shuttleSystem
Vacuum_Packer,vacuumPacker
Valve_Controller,valveController
Vision_System,visionSystem
XRay_Inspector,xrayInspector
